,Title,Questions,answers
0,b'Why cant sunny Singapore be powered by solar energy alone? | MS Explains - YouTube',What is the installed capacity of Singapore's largest floating solar farm?,The installed capacity of Singapore's largest floating solar farm is 703 megawatt Peak.
1,b'Why cant sunny Singapore be powered by solar energy alone? | MS Explains - YouTube',How many solar installations does Singapore's largest floating solar farm have?,Singapore's largest floating solar farm has 5733 solar installations.
2,b'Why cant sunny Singapore be powered by solar energy alone? | MS Explains - YouTube',How many households can be powered by Singapore's largest floating solar farm for a year?,"Singapore's largest floating solar farm can power up to 111,000 households for a year."
3,b'Why cant sunny Singapore be powered by solar energy alone? | MS Explains - YouTube',What is Singapore's target for solar capacity by 2030?,Singapore aims to deploy at least 2 gigawatt peak of solar capacity by 2030.
4,b'Why cant sunny Singapore be powered by solar energy alone? | MS Explains - YouTube',How many households can be powered by 2 gigawatt peak of solar capacity in Singapore?,"2 gigawatt peak of solar capacity in Singapore could generate enough energy to power around 350,000 households for a year."
5,b'Why cant sunny Singapore be powered by solar energy alone? | MS Explains - YouTube',What percentage of Singapore's total electricity demand will be accounted for by solar in 2030?,Solar will only account for three percent of Singapore's total electricity demand in 2030 due to land availability and intermittent solar power.
6,b'Why cant sunny Singapore be powered by solar energy alone? | MS Explains - YouTube',What are some alternative energy sources that Singapore is considering?,"Singapore is considering low carbon electricity imports, hydrogen, and geothermal energy as alternative energy sources."
7,b'Why cant sunny Singapore be powered by solar energy alone? | MS Explains - YouTube',What is the maximum percentage of Singapore's electricity demand that can be accounted for by solar?,Solar can only account for perhaps 10 percent of Singapore's electricity demand.
8,b'Why cant sunny Singapore be powered by solar energy alone? | MS Explains - YouTube',Why can solar only account for a small percentage of Singapore's electricity demand?,Solar can only account for a small percentage of Singapore's electricity demand due to land availability and intermittent solar power.
9,b'Why cant sunny Singapore be powered by solar energy alone? | MS Explains - YouTube',What is the benefit of using low carbon electricity imports as an alternative energy source?,Low carbon electricity imports can help Singapore reduce its carbon footprint and meet its climate goals.
10,b'Why Singapore built one of the worlds biggest floating solar farms - YouTube',What is the name of the floating solar farm being built in Singapore?,The name of the floating solar farm being built in Singapore is Tongae Reservoir Floating Solar Farm.
11,b'Why Singapore built one of the worlds biggest floating solar farms - YouTube',How many solar panels are there in the Tongae Reservoir Floating Solar Farm?,"There are 122,000 solar panels in the Tongae Reservoir Floating Solar Farm."
12,b'Why Singapore built one of the worlds biggest floating solar farms - YouTube',How many arrays are there in the Tongae Reservoir Floating Solar Farm?,There are 16 arrays in the Tongae Reservoir Floating Solar Farm.
13,b'Why Singapore built one of the worlds biggest floating solar farms - YouTube',How many floats are there in the Tongae Reservoir Floating Solar Farm?,"There are 250,000 floats in the Tongae Reservoir Floating Solar Farm."
14,b'Why Singapore built one of the worlds biggest floating solar farms - YouTube',What is the capacity of the Tongae Reservoir Floating Solar Farm?,The capacity of the Tongae Reservoir Floating Solar Farm is 60 megawatt peak.
15,b'Why Singapore built one of the worlds biggest floating solar farms - YouTube',How many 4-room HDB flats can the Tongae Reservoir Floating Solar Farm power for a year?,"The Tongae Reservoir Floating Solar Farm can power around 16,000 4-room HDB flats for a year."
16,b'Why Singapore built one of the worlds biggest floating solar farms - YouTube',What is the carbon emissions offset of the Tongae Reservoir Floating Solar Farm?,The carbon emissions offset of the Tongae Reservoir Floating Solar Farm is 32 kilo tons annually.
17,b'Why Singapore built one of the worlds biggest floating solar farms - YouTube',What technology is used to generate power in the Tongae Reservoir Floating Solar Farm?,The Tongae Reservoir Floating Solar Farm uses photovoltaic or PV technology to generate power from the sun.
18,b'Why Singapore built one of the worlds biggest floating solar farms - YouTube',What will the clean energy generated by the Tongae Reservoir Floating Solar Farm be used for?,The clean energy generated by the Tongae Reservoir Floating Solar Farm will be used to power PUB's local water treatment plants.
19,b'Why Singapore built one of the worlds biggest floating solar farms - YouTube',What percentage of PUB's electricity needs in Singapore do the local water treatment plants make up?,The local water treatment plants make up seven percent of PUB's electricity needs in Singapore.
20,EMA: b'Overview',What is the most viable renewable energy option for Singapore?,Solar energy remains the most viable renewable energy option for Singapore when it becomes commercially viable.
21,EMA: b'Overview',What is the average annual solar irradiance in Singapore?,"Singapore enjoys an average annual solar irradiance of 1,580 kWh/m2/year."
22,EMA: b'Overview',What is the SolarNova initiative?,The SolarNova initiative aggregates public sector demand for solar PV.
23,EMA: b'Overview',Who does the Singapore government partner with to test-bed solutions for managing intermittency challenges posed by renewables?,The Singapore government partners with industry and the research community to test-bed solutions that will enable us to better manage the intermittency challenges posed by renewables.
24,EMA: b'Overview',What is the main challenge posed by renewables in Singapore?,The main challenge posed by renewables in Singapore is managing intermittency.
25,EMA: b'Overview',What is the annual solar irradiance in Singapore?,"The annual solar irradiance in Singapore is 1,580 kWh/m2/year."
26,EMA: b'Overview',What is the purpose of the SolarNova initiative?,The purpose of the SolarNova initiative is to aggregate public sector demand for solar PV.
27,EMA: b'Overview',What does the Singapore government do to manage intermittency challenges posed by renewables?,The Singapore government partners with industry and the research community to test-bed solutions that will enable us to better manage the intermittency challenges posed by renewables.
28,EMA: b'Overview',What is the potential of solar energy in Singapore?,Solar energy has great potential in Singapore due to its high annual solar irradiance.
29,EMA: b'Overview',What is the role of industry and the research community in Singapore's renewable energy efforts?,Industry and the research community partner with the Singapore government to test-bed solutions for managing intermittency challenges posed by renewables.
30,EMA: b'Solar Photovoltaic Systems',What is the average annual solar irradiance in Singapore?,"Singapore has an average annual solar irradiance of 1,580 kWh/m2/year."
31,EMA: b'Solar Photovoltaic Systems',How does Singapore's solar radiation compare to temperate countries?,Singapore has about 50% more solar radiation than temperate countries.
32,EMA: b'Solar Photovoltaic Systems',Why is solar photovoltaic generation the most promising renewable energy source for Singapore?,Solar photovoltaic generation is the most promising renewable energy source for Singapore because of its high solar radiation and potential to reduce peak demand.
33,EMA: b'Solar Photovoltaic Systems',What are the benefits of deploying solar energy in Singapore?,"The benefits of deploying solar energy in Singapore include environmental sustainability, enhanced energy security, and the potential to reduce peak demand."
34,EMA: b'Solar Photovoltaic Systems',What are the limitations to installing solar panels in Singapore?,"The limitations to installing solar panels in Singapore include the country's small physical size, high population density, and land scarcity."
35,EMA: b'Solar Photovoltaic Systems',What is the output of solar PV dependent on?,The output of solar PV is variable and dependent on weather conditions.
36,EMA: b'Solar Photovoltaic Systems',What is the Intermittency Pricing Mechanism (IPM) for Intermittent Generation Sources (IGS)?,The Intermittency Pricing Mechanism (IPM) for Intermittent Generation Sources (IGS) is a mechanism launched by the Energy Market Authority (EMA) to manage intermittency of sources such as solar.
37,EMA: b'Solar Photovoltaic Systems',What is Singapore's target for solar energy deployment by 2030?,Singapore aims to deploy at least 2 gigawatt-peak (GWp) of solar energy by 2030.
38,EMA: b'Solar Photovoltaic Systems',What is the potential issue with the variable output of solar PV?,The variable output of solar PV can result in imbalances between supply and demand.
39,EMA: b'Solar Photovoltaic Systems',What is the solution to managing intermittency of solar energy in Singapore?,The solution to managing intermittency of solar energy in Singapore is the Intermittency Pricing Mechanism (IPM) for Intermittent Generation Sources (IGS).
40,EMA: b'Solar Generation Profile',What is the Solar Generation Profile?,The Solar Generation Profile is an estimated solar generation output approved by the Energy Market Authority (EMA) based on factors such as Singapore's historical average solar irradiance from 7am to 7pm.
41,EMA: b'Solar Generation Profile',Who can opt for the Solar Generation Profile?,Consumers with embedded solar photovoltaic generation facilities can opt for the Solar Generation Profile instead of installing the relevant metering arrangement.
42,EMA: b'Solar Generation Profile',Is the Solar Generation Profile standardised for all consumers?,"Yes, the Solar Generation Profile is standardised for all consumers with embedded solar photovoltaic generation facilities."
43,EMA: b'Solar Generation Profile',Will the Solar Generation Profile be updated?,"Yes, the Solar Generation Profile will be updated by EMA as new information becomes available."
44,EMA: b'Solar Generation Profile',How will consumers with embedded solar photovoltaic generation facilities be paid?,Consumers with embedded solar photovoltaic generation facilities will still be paid for the actual generation sold back to the grid.
45,EMA: b'Solar Generation Profile',What is the basis for the Solar Generation Profile?,The Solar Generation Profile is based on factors such as Singapore's historical average solar irradiance from 7am to 7pm.
46,EMA: b'Solar Generation Profile',Where can the latest Solar Generation Profile be found?,The latest Solar Generation Profile can be found on the EMA website.
47,EMA: b'Solar Generation Profile',What is the Energy Market Authority (EMA)?,The Energy Market Authority (EMA) is a statutory board under the Ministry of Trade and Industry in Singapore that regulates the electricity and gas industries.
48,EMA: b'Solar Generation Profile',What is solar photovoltaic generation?,Solar photovoltaic generation is the process of converting sunlight into electricity using solar panels.
49,EMA: b'Solar Generation Profile',What are embedded solar photovoltaic generation facilities?,"Embedded solar photovoltaic generation facilities are solar panels installed on the premises of consumers, such as households or businesses, for their own use and any excess electricity generated can be sold back to the grid."
50,EMA: b'Guide to Solar PV',What are the three broad steps to take when installing solar PV?,"The three broad steps to take when installing solar PV are physically installing the solar PV system, commissioning and turning on the solar PV system, and selling back excess solar generated electricity."
51,EMA: b'Guide to Solar PV',Who should consumers engage to ensure appropriate physical installation and compliance with regulations?,Consumers installing a solar PV system should engage a Qualified Person (QP) to ensure appropriate physical installation and compliance with regulations.
52,EMA: b'Guide to Solar PV',What may the QP need to seek approval from the authorities for?,"Depending on the individual consumer's requirements, the QP may need to seek approval from the authorities."
53,EMA: b'Guide to Solar PV',Who should consumers engage to commission and turn on the solar PV system?,"After the solar PV system has been installed, the consumer should engage a Licensed Electrical Worker (LEW) to commission and turn on the solar PV system."
54,EMA: b'Guide to Solar PV',What should consumers do if they wish to sell any excess solar electricity to the grid?,"If the consumer wishes to sell any excess solar electricity to the grid, he may register with SP Services (SPS) under the Simplified Credit Treatment (SCT) or Enhanced Central Intermediary Scheme (ECIS) or register as a Market Participant with Energy Market Company."
55,EMA: b'Guide to Solar PV',Who can register directly with the EMC as a Market Participant to sell electricity?,Non-contestable consumers and contestable consumers with embedded solar capacity 1 MWac can register directly with the EMC as a Market Participant to sell electricity.
56,EMA: b'Guide to Solar PV',What is the role of a Qualified Person (QP) in installing solar PV?,The role of a Qualified Person (QP) in installing solar PV is to ensure appropriate physical installation and compliance with regulations.
57,EMA: b'Guide to Solar PV',What is the role of a Licensed Electrical Worker (LEW) in installing solar PV?,The role of a Licensed Electrical Worker (LEW) in installing solar PV is to commission and turn on the solar PV system.
58,EMA: b'Guide to Solar PV',What are the two registration schemes available for consumers who wish to sell excess solar electricity to the grid?,The two registration schemes available for consumers who wish to sell excess solar electricity to the grid are Simplified Credit Treatment (SCT) and Enhanced Central Intermediary Scheme (ECIS).
59,EMA: b'Guide to Solar PV',Who can register as a Market Participant with Energy Market Company to sell electricity?,Non-contestable consumers and contestable consumers with embedded solar capacity 1 MWac can register as a Market Participant with Energy Market Company to sell electricity.
60,EMA: b'Upcoming Enhancements',What are the proposed enhancements for solar PV in Singapore?,"The proposed enhancements include the implementation of an Intermittency Pricing Mechanism (IPM), removal of constraints for buildings under a Master-sub setup, implementation of a Solar Aggregator Model, and nomination of third parties to receive direct payments from SP."
61,EMA: b'Upcoming Enhancements',What is the Intermittency Pricing Mechanism (IPM)?,"The Intermittency Pricing Mechanism (IPM) is a mechanism to ensure fair cost allocation of reserves and regulation charge to all generation sources, including solar."
62,EMA: b'Upcoming Enhancements',What is the purpose of removing constraints for buildings under a Master-sub setup?,The purpose of removing constraints for buildings under a Master-sub setup is to accelerate solar deployment in such settings.
63,EMA: b'Upcoming Enhancements',What is the Solar Aggregator Model?,The Solar Aggregator Model is a model to make it administratively easier for solar leasing companies to receive payments and data from their solar consumers.
64,EMA: b'Upcoming Enhancements',What is the nomination of third parties in the context of solar PV in Singapore?,The nomination of third parties refers to the ability of third parties to receive direct payments from SP in lieu of consumers for energy exports from solar and embedded generation.
65,EMA: b'Upcoming Enhancements',What is the purpose of the proposed enhancements for solar PV in Singapore?,The purpose of the proposed enhancements is to facilitate the deployment of solar in Singapore.
66,EMA: b'Upcoming Enhancements',Who can share their ideas on how to better facilitate the deployment of solar in Singapore?,The article encourages readers to share their ideas on how to better facilitate the deployment of solar in Singapore.
67,EMA: b'Upcoming Enhancements',What is the benefit of the Intermittency Pricing Mechanism (IPM) for solar PV in Singapore?,"The benefit of the Intermittency Pricing Mechanism (IPM) is fair cost allocation of reserves and regulation charge to all generation sources, including solar."
68,EMA: b'Upcoming Enhancements',What is the benefit of the Solar Aggregator Model for solar leasing companies in Singapore?,The benefit of the Solar Aggregator Model is that it makes it administratively easier for solar leasing companies to receive payments and data from their solar consumers.
69,EMA: b'Upcoming Enhancements',What is the significance of the removal of constraints for buildings under a Master-sub setup for solar PV in Singapore?,The significance of the removal of constraints for buildings under a Master-sub setup is that it accelerates solar deployment in such settings.
70,EMA: b'Solar Irradiance Map',What is estimated solar photovoltaic (PV) output?,"Estimated solar photovoltaic (PV) output refers to the amount of electricity that can be generated by a solar PV system under specific conditions, such as the amount of sunlight and temperature."
71,EMA: b'Solar Irradiance Map',What is installed solar PV capacity?,Installed solar PV capacity refers to the total amount of solar PV panels that have been installed in a specific location or area.
72,EMA: b'Solar Irradiance Map',What is nominal power output in megawatts (MW)?,Nominal power output in megawatts (MW) refers to the maximum power output that a solar PV system can generate under ideal conditions.
73,EMA: b'Solar Irradiance Map',What factors can affect the electricity output from solar?,"Electricity from solar can vary based on factors such as the amount of sunlight, cloud movement and shade."
74,EMA: b'Solar Irradiance Map',What does the solar irradiance heat map show?,The solar irradiance heat map shows the solar irradiance variations across Singapore.
75,EMA: b'Solar Irradiance Map',What is solar irradiance?,"Solar irradiance refers to the amount of solar radiation that reaches a specific area or surface, such as the Earth's surface or a solar PV panel."
76,EMA: b'Solar Irradiance Map',What is the difference between solar irradiance and solar insolation?,"Solar irradiance refers to the amount of solar radiation that reaches a specific area or surface, while solar insolation refers to the amount of solar radiation that is received over a period of time, usually a day or a year."
77,EMA: b'Solar Irradiance Map',What is the efficiency of a solar PV system?,The efficiency of a solar PV system refers to the percentage of solar energy that is converted into usable electricity by the system.
78,EMA: b'Solar Irradiance Map',What is the lifespan of a solar PV system?,"The lifespan of a solar PV system can vary depending on factors such as the quality of the components, maintenance and environmental conditions. Generally, a well-maintained solar PV system can last for 25-30 years or more."
79,EMA: b'Solar Irradiance Map',What are the benefits of using solar energy?,"The benefits of using solar energy include reducing carbon emissions, lowering electricity bills, increasing energy independence and security, and creating jobs in the renewable energy sector."
80,EMA: b'Energy Storage System',What is Singapore doing to prepare for a future with more solar energy?,Singapore is preparing for a future where solar energy could form a more significant portion of our energy mix.
81,EMA: b'Energy Storage System',What are the limitations to deploying solar on a large scale in Singapore?,"Due to the intermittent nature of solar, there are limitations to deploying solar on a large scale to generate electricity reliably in Singapore."
82,EMA: b'Energy Storage System',What is ESS?,ESS stands for Energy Storage Systems.
83,EMA: b'Energy Storage System',What is the benefit of ESS?,ESS is able to capture energy produced at a particular time to be used later.
84,EMA: b'Energy Storage System',How have technological improvements in ESS affected its deployment?,Technological improvements in ESS have reduced the cost of deployment and increased the range of services that ESS can provide to the power system.
85,EMA: b'Energy Storage System',What does the policy paper on Energy Storage Systems for Singapore provide guidance on?,"The policy paper on Energy Storage Systems for Singapore provides guidance on the potential applications for ESS in Singapore, such as helping to integrate higher levels of solar and managing solar intermittency."
86,EMA: b'Energy Storage System',What is the Intermittency Pricing Mechanism (IPM)?,The Intermittency Pricing Mechanism (IPM) is an initiative to facilitate ESS deployment in Singapore.
87,EMA: b'Energy Storage System',What is the Regulatory Sandbox with SP Power Assets (SPPA)?,The Regulatory Sandbox with SP Power Assets (SPPA) is a testing ground to test SPPA's ability to use ESS to smooth out electricity supply during times of high electricity usage in residential areas.
88,EMA: b'Energy Storage System',What is the goal of using ESS in Singapore?,The goal of using ESS in Singapore is to help integrate higher levels of solar and manage solar intermittency.
89,EMA: b'Energy Storage System',What is the potential benefit of using ESS in residential areas?,The potential benefit of using ESS in residential areas is to smooth out electricity supply during times of high electricity usage.
90,EMA: b'Solar panels yet to shine',What is the Energy Market Authority's stance on solar energy?,"The Energy Market Authority (EMA) fully supports the use of solar energy, and solar energy is clean and has no emissions."
91,EMA: b'Solar panels yet to shine',How does solar energy benefit consumers?,Solar energy helps to reduce costs for consumers by lowering their demand for electricity from the grid.
92,EMA: b'Solar panels yet to shine',What are the constraints and trade-offs of solar energy?,"Solar energy is intermittent in nature and fluctuates based on weather conditions, cloud cover and shadows. Competing uses for rooftop space could affect the amount of solar energy deployed."
93,EMA: b'Solar panels yet to shine',Should we adopt the practices of countries like Germany and Spain in promoting renewable energy?,"We should exercise caution before adopting practices of countries like Germany and Spain, which rely on subsidies to encourage adoption of renewable energy."
94,EMA: b'Solar panels yet to shine',How many homes has Phoenix Solar installed its products in?,"Phoenix Solar, a company which sells solar panels, says in the eight years it has been around, it has installed its products in only about 30 homes."
95,EMA: b'Solar panels yet to shine',Is solar energy a clean source of energy?,"Yes, solar energy is clean and has no emissions."
96,EMA: b'Solar panels yet to shine',What factors affect the amount of solar energy that can be deployed?,"Weather conditions, cloud cover, shadows, and competing uses for rooftop space can affect the amount of solar energy that can be deployed."
97,EMA: b'Solar panels yet to shine',What is the potential downside of relying on subsidies to promote renewable energy?,Relying on subsidies to promote renewable energy could lead to unsustainable practices and may not be a viable long-term solution.
98,EMA: b'Solar panels yet to shine',How can solar energy help reduce electricity costs for consumers?,"By generating electricity on-site, solar energy can help reduce the amount of electricity consumers need to purchase from the grid, thereby lowering their electricity bills."
99,EMA: b'Solar panels yet to shine',What is the main challenge with using solar energy as a primary source of electricity?,"The main challenge with using solar energy as a primary source of electricity is its intermittent nature, which can make it difficult to ensure a consistent supply of electricity."
100,EMA: b'EMA Awards $6.2 Million Research Grant to Develop Solar Forecasting Capabilities',What is the Energy Market Authority (EMA)?,The Energy Market Authority (EMA) is an organization that has awarded a $6.2m research grant to a consortium led by the National University of Singapore (NUS) to improve the accuracy of solar photovoltaic (PV) output forecasts and grid management.
101,EMA: b'EMA Awards $6.2 Million Research Grant to Develop Solar Forecasting Capabilities',What is the purpose of the research grant awarded by EMA?,The purpose of the research grant awarded by EMA is to improve the accuracy of solar photovoltaic (PV) output forecasts and grid management.
102,EMA: b'EMA Awards $6.2 Million Research Grant to Develop Solar Forecasting Capabilities',Who is leading the consortium that received the research grant from EMA?,The consortium that received the research grant from EMA is led by the National University of Singapore (NUS).
103,EMA: b'EMA Awards $6.2 Million Research Grant to Develop Solar Forecasting Capabilities',What technologies will be used to improve solar PV output forecasts and grid management?,"The system will use weather prediction, remote sensing, machine learning and grid modelling."
104,EMA: b'EMA Awards $6.2 Million Research Grant to Develop Solar Forecasting Capabilities',What data will be used to improve solar PV output forecasts and grid management?,"The system will make use of the growing pool of solar irradiance data generated as more sensors are installed on the rooftops of buildings, and weather data from the dense network of sensors installed by Meteorological Service Singapore (MSS) island wide."
105,EMA: b'EMA Awards $6.2 Million Research Grant to Develop Solar Forecasting Capabilities',Why is forecasting solar power output in Singapore challenging?,Forecasting solar power output in Singapore is challenging due to the complexities of local weather systems.
106,EMA: b'EMA Awards $6.2 Million Research Grant to Develop Solar Forecasting Capabilities',How much was the research grant awarded by EMA?,The research grant awarded by EMA was $6.2m.
107,EMA: b'EMA Awards $6.2 Million Research Grant to Develop Solar Forecasting Capabilities',What is the role of Meteorological Service Singapore (MSS) in the research project?,Meteorological Service Singapore (MSS) will provide weather data from the dense network of sensors installed island wide to improve solar PV output forecasts and grid management.
108,EMA: b'EMA Awards $6.2 Million Research Grant to Develop Solar Forecasting Capabilities',What is the aim of using machine learning in the research project?,The aim of using machine learning in the research project is to improve the accuracy of solar PV output forecasts and grid management.
109,EMA: b'EMA Awards $6.2 Million Research Grant to Develop Solar Forecasting Capabilities',What is remote sensing and how will it be used in the research project?,Remote sensing is the acquisition of information about an object or phenomenon without making physical contact with the object. It will be used in the research project to improve the accuracy of solar PV output forecasts and grid management.
110,EMA: b'Solar Energy: Efforts Ongoing to Encourage Adoption',What is the Singaporean government's solar energy deployment target for 2030?,The Singaporean government has set a target to deploy 2 gigawatt-peak (GWp) of solar energy by 2030.
111,EMA: b'Solar Energy: Efforts Ongoing to Encourage Adoption',Did Singapore meet its 2020 solar deployment target?,"Yes, Singapore has already met its 2020 solar deployment target of 350 megawatt-peak (MWp)."
112,EMA: b'Solar Energy: Efforts Ongoing to Encourage Adoption',What is Singapore's solar deployment target for 2025?,Singapore plans to achieve 1.5 GWp of solar energy deployment by 2025.
113,EMA: b'Solar Energy: Efforts Ongoing to Encourage Adoption',How many households in Singapore can be powered by 1.5 GWp of solar energy?,"1.5 GWp of solar energy is equivalent to powering around 260,000 households in Singapore annually."
114,EMA: b'Solar Energy: Efforts Ongoing to Encourage Adoption',Has the cost of solar panels increased or decreased over time?,The cost of solar panels has decreased over time.
115,EMA: b'Solar Energy: Efforts Ongoing to Encourage Adoption',How much has the installed solar capacity in landed homes grown since 2015?,"The installed solar capacity in landed homes has grown about four times since 2015, from 3.6 MWp to around 14.9 MWp as at the fourth quarter of last year."
116,EMA: b'Solar Energy: Efforts Ongoing to Encourage Adoption',What is the Energy Market Authority (EMA) seeking to do for consumers?,"The Energy Market Authority (EMA) seeks to make it easier for consumers, including landed homeowners, to sell their excess solar energy."
117,EMA: b'Solar Energy: Efforts Ongoing to Encourage Adoption',What is the unit of measurement for solar energy deployment targets?,The unit of measurement for solar energy deployment targets is gigawatt-peak (GWp).
118,EMA: b'Solar Energy: Efforts Ongoing to Encourage Adoption',What is the benefit of achieving Singapore's solar energy deployment targets?,Achieving Singapore's solar energy deployment targets will help to reduce carbon emissions and promote sustainable energy use.
119,EMA: b'Solar Energy: Efforts Ongoing to Encourage Adoption',What is the significance of the 2030 target for solar energy deployment?,The 2030 target for solar energy deployment is significant as it aligns with Singapore's goal of reducing its greenhouse gas emissions by 36% from 2005 levels by 2030.
120,EMA: b'JTC & Shell to Explore Semakau Solar Farm to Meet Singapores Growing Clean Energy Needs',What is the Memorandum of Understanding signed between JTC Corporation and Shell Singapore?,"The Memorandum of Understanding is for jointly exploring the development of a solar farm on part of Semakau Landfill, south of the Singapore mainland."
121,EMA: b'JTC & Shell to Explore Semakau Solar Farm to Meet Singapores Growing Clean Energy Needs',What is the expected area and capacity of the solar farm?,The solar farm is expected to take up an area of 60ha and have a capacity of at least 72MWp.
122,EMA: b'JTC & Shell to Explore Semakau Solar Farm to Meet Singapores Growing Clean Energy Needs',What is the expected reduction in CO2 emissions from the solar farm?,"The solar farm is expected to reduce CO2 emissions by 37,000 tonnes a year."
123,EMA: b'JTC & Shell to Explore Semakau Solar Farm to Meet Singapores Growing Clean Energy Needs',How many households can be powered by the energy produced from the solar farm?,"The energy produced can power up to 17,500 households for a year."
124,EMA: b'JTC & Shell to Explore Semakau Solar Farm to Meet Singapores Growing Clean Energy Needs',What is the target for solar deployment in Singapore by 2030?,The target for solar deployment in Singapore by 2030 is at least 2GWp.
125,EMA: b'JTC & Shell to Explore Semakau Solar Farm to Meet Singapores Growing Clean Energy Needs',Who are the parties involved in the Memorandum of Understanding?,The parties involved in the Memorandum of Understanding are JTC Corporation and Shell Singapore.
126,EMA: b'JTC & Shell to Explore Semakau Solar Farm to Meet Singapores Growing Clean Energy Needs',Where is the proposed location for the solar farm?,"The proposed location for the solar farm is on part of Semakau Landfill, south of the Singapore mainland."
127,EMA: b'JTC & Shell to Explore Semakau Solar Farm to Meet Singapores Growing Clean Energy Needs',What is the capacity of the solar farm?,The solar farm has a capacity of at least 72MWp.
128,EMA: b'JTC & Shell to Explore Semakau Solar Farm to Meet Singapores Growing Clean Energy Needs',What is the expected annual CO2 emissions reduction from the solar farm?,"The solar farm is expected to reduce CO2 emissions by 37,000 tonnes a year."
129,EMA: b'JTC & Shell to Explore Semakau Solar Farm to Meet Singapores Growing Clean Energy Needs',What is the significance of this project?,This project is aligned with Singapore's target to increase solar deployment to at least 2GWp by 2030.
130,EMA: b'Enhancing Singapores Solar Adoption and Grid Reliability with Solar Forecasting Tools',What is the Solar Forecasting Model?,The Solar Forecasting Model is a tool developed by the Solar Energy Research Institute of Singapore (SERIS) at the National University of Singapore (NUS) that can forecast Singapore's island-wide solar irradiance up to one hour ahead.
131,EMA: b'Enhancing Singapores Solar Adoption and Grid Reliability with Solar Forecasting Tools',What is the average error rate of the Solar Forecasting Model?,The Solar Forecasting Model has an average error rate lower than 10%.
132,EMA: b'Enhancing Singapores Solar Adoption and Grid Reliability with Solar Forecasting Tools',What is the benefit of the Solar Forecasting Model?,The Solar Forecasting Model allows Singapore's power system operator to anticipate solar power output ahead of time and take pre-emptive actions to manage solar intermittency and balance the power grid.
133,EMA: b'Enhancing Singapores Solar Adoption and Grid Reliability with Solar Forecasting Tools',Who developed the Solar Forecasting Model?,The Solar Forecasting Model was developed by the Solar Energy Research Institute of Singapore (SERIS) at the National University of Singapore (NUS).
134,EMA: b'Enhancing Singapores Solar Adoption and Grid Reliability with Solar Forecasting Tools',What is Singapore's goal for solar capacity by 2030?,Singapore aims to deploy at least 2 gigawatt-peak (GWp) of solar capacity by 2030.
135,EMA: b'Enhancing Singapores Solar Adoption and Grid Reliability with Solar Forecasting Tools',How long was the trial period for the Solar Forecasting Model?,The trial period for the Solar Forecasting Model was one year.
136,EMA: b'Enhancing Singapores Solar Adoption and Grid Reliability with Solar Forecasting Tools',What can the power system operator do with the Solar Forecasting Model?,The power system operator can anticipate solar power output ahead of time and take pre-emptive actions to manage solar intermittency and balance the power grid with the help of the Solar Forecasting Model.
137,EMA: b'Enhancing Singapores Solar Adoption and Grid Reliability with Solar Forecasting Tools',What is the purpose of managing solar intermittency?,Managing solar intermittency helps to ensure a stable and reliable power supply from solar energy sources.
138,EMA: b'Enhancing Singapores Solar Adoption and Grid Reliability with Solar Forecasting Tools',What is the significance of the Solar Forecasting Model for Singapore's energy sector?,"The Solar Forecasting Model is significant for Singapore's energy sector as it helps to increase the reliability and efficiency of the power grid, and supports the country's goal of increasing its solar capacity."
139,EMA: b'Enhancing Singapores Solar Adoption and Grid Reliability with Solar Forecasting Tools',What institution is responsible for the development of the Solar Forecasting Model?,The Solar Energy Research Institute of Singapore (SERIS) at the National University of Singapore (NUS) is responsible for the development of the Solar Forecasting Model.